,Run # 0 ASF,Run # 1 ASF,Run # 2 ASF,Run # 3 ASF,Run # 4 ASF,Run # 5 ASF,Run # 6 ASF,Run # 7 ASF,Run # 8 ASF,Run # 9 ASF,Avg ASF
0,706.8666666666667,828.9666666666667,737.6666666666666,778.6333333333333,831.5,745.8,798.4666666666667,729.3333333333334,786.0,830.0666666666667,777.33
1,741.9666666666667,911.1666666666666,781.6666666666666,853.4,885.0,780.0,827.7333333333333,774.1,804.0,881.0,824.0033333333333
2,752.1333333333333,938.6,833.0,857.0,885.0,784.4666666666667,860.0,847.0,837.7333333333333,881.0,847.5933333333335
3,758.0,989.6,833.0,857.0,885.0,796.8666666666667,860.0,852.0,887.9333333333333,881.0,860.0400000000002
4,780.0,995.0,833.0,897.4333333333333,885.0,826.0,857.5,852.0,912.0,881.0,871.8933333333334
5,802.0,995.0,872.5,932.0,885.0,843.5,860.0,852.0,912.0,881.0,883.5
6,802.0,995.0,899.3333333333334,932.0,885.0,898.5,860.0,855.0666666666667,912.0,881.0,891.99
7,802.0,995.0,934.0,932.0,885.0,901.0,860.0,893.4,912.0,881.0,899.54
8,812.0,995.0,934.0,932.0,885.0,901.0,860.0,898.0,912.0,881.0,901.0
9,877.0,995.0,934.0,932.0,885.0,901.0,860.0,898.0,935.0,881.0,909.8
10,877.0,995.0,934.0,900.9333333333333,885.0,901.0,911.9,898.0,958.0,881.0,914.1833333333334
11,877.0,995.0,934.0,932.0,885.0,901.0,938.0,898.0,958.0,881.0,919.9
12,877.0,995.0,934.0,932.0,885.0,901.0,938.0,898.0,963.8666666666667,881.0,920.4866666666667
13,877.0,995.0,934.0,932.0,885.0,901.0,943.0,898.0,966.0,881.0,921.2
14,877.0,995.0,934.0,932.0,885.0,901.0,938.0,898.0,966.0,881.0,920.7
15,877.0,992.5,934.0,932.0,885.0,901.0,938.0,898.0,966.0,881.0,920.45
16,877.0,992.9,934.0,932.0,885.0,901.0,945.5,898.0,966.0,881.0,921.24
17,877.0,995.0,934.0,932.0,885.0,901.0,995.5,898.0,966.0,881.0,926.45
18,877.0,995.0,934.0,932.0,885.0,901.0,1013.0,898.0,966.0,881.0,928.2
