,Run # 0 BSF,Avg BSF
88,1.975370042480502e-05,1.975370042480502e-05
89,1.976327653485224e-05,1.976327653485224e-05
90,1.975370042480502e-05,1.975370042480502e-05
91,1.985178106510392e-05,1.985178106510392e-05
92,1.985584341025821e-05,1.985584341025821e-05
93,1.986867602384979e-05,1.986867602384979e-05
94,1.9868752195511678e-05,1.9868752195511678e-05
95,1.993435585602607e-05,1.993435585602607e-05
96,2.0129720622081206e-05,2.0129720622081206e-05
97,2.034605114660542e-05,2.034605114660542e-05
98,2.034605114660542e-05,2.034605114660542e-05
99,2.034605114660542e-05,2.034605114660542e-05
100,2.051992224987714e-05,2.051992224987714e-05
101,2.0525618626265337e-05,2.0525618626265337e-05
102,2.060694249784261e-05,2.060694249784261e-05
103,2.0732928628779363e-05,2.0732928628779363e-05
104,2.0732928628779363e-05,2.0732928628779363e-05
105,2.0842999351434272e-05,2.0842999351434272e-05
106,2.0869470881806796e-05,2.0869470881806796e-05
107,2.1013176958349023e-05,2.1013176958349023e-05
108,2.1069295987367175e-05,2.1069295987367175e-05
109,2.107476806220452e-05,2.107476806220452e-05
110,2.1146501747561475e-05,2.1146501747561475e-05
111,2.1158206939977422e-05,2.1158206939977422e-05
112,2.1196385528431318e-05,2.1196385528431318e-05
113,2.1203304507711662e-05,2.1203304507711662e-05
114,2.1203304507711662e-05,2.1203304507711662e-05
115,2.1238345483721254e-05,2.1238345483721254e-05
116,2.1331525217955722e-05,2.1331525217955722e-05
117,2.1331525217955722e-05,2.1331525217955722e-05
118,2.1331525217955722e-05,2.1331525217955722e-05
119,2.1331525217955722e-05,2.1331525217955722e-05
120,2.1401757350428628e-05,2.1401757350428628e-05
121,2.1401757350428628e-05,2.1401757350428628e-05
122,2.141078741261362e-05,2.141078741261362e-05
123,2.163728825163419e-05,2.163728825163419e-05
124,2.163728825163419e-05,2.163728825163419e-05
125,2.163728825163419e-05,2.163728825163419e-05
126,2.1757510473668055e-05,2.1757510473668055e-05
127,2.176890159994577e-05,2.176890159994577e-05
128,2.178535131720837e-05,2.178535131720837e-05
129,2.178535131720837e-05,2.178535131720837e-05
130,2.178535131720837e-05,2.178535131720837e-05
131,2.178535131720837e-05,2.178535131720837e-05
132,2.182887884294456e-05,2.182887884294456e-05
133,2.1829509234858495e-05,2.1829509234858495e-05
134,2.1829509234858495e-05,2.1829509234858495e-05
135,2.184831036283228e-05,2.184831036283228e-05
136,2.1895900489063046e-05,2.1895900489063046e-05
137,2.194970735752217e-05,2.194970735752217e-05
138,2.2490040666003652e-05,2.2490040666003652e-05
139,2.2490040666003652e-05,2.2490040666003652e-05
140,2.2644340535130983e-05,2.2644340535130983e-05
141,2.2644340535130983e-05,2.2644340535130983e-05
142,2.264702951332506e-05,2.264702951332506e-05
143,2.264702951332506e-05,2.264702951332506e-05
144,2.2743935030881137e-05,2.2743935030881137e-05
145,2.2743935030881137e-05,2.2743935030881137e-05
146,2.2746622863895723e-05,2.2746622863895723e-05
147,2.2746622863895723e-05,2.2746622863895723e-05
148,2.2751225396671196e-05,2.2751225396671196e-05
149,2.2751225396671196e-05,2.2751225396671196e-05
150,2.290132954473908e-05,2.290132954473908e-05
151,2.2987254640363407e-05,2.2987254640363407e-05
152,2.305030461490931e-05,2.305030461490931e-05
153,2.305030461490931e-05,2.305030461490931e-05
154,2.305030461490931e-05,2.305030461490931e-05
155,2.3106317136903417e-05,2.3106317136903417e-05
156,2.3106317136903417e-05,2.3106317136903417e-05
157,2.3106317136903417e-05,2.3106317136903417e-05
158,2.311309247276109e-05,2.311309247276109e-05
159,2.313690912189749e-05,2.313690912189749e-05
160,2.3157191392462566e-05,2.3157191392462566e-05
161,2.3157191392462566e-05,2.3157191392462566e-05
162,2.3174904312049528e-05,2.3174904312049528e-05
163,2.32271821387868e-05,2.32271821387868e-05
164,2.3305326084383055e-05,2.3305326084383055e-05
165,2.334078473319555e-05,2.334078473319555e-05
166,2.3352439306018042e-05,2.3352439306018042e-05
167,2.3452275507688124e-05,2.3452275507688124e-05
168,2.3552397483326873e-05,2.3552397483326873e-05
169,2.3552397483326873e-05,2.3552397483326873e-05
170,2.3615948304223494e-05,2.3615948304223494e-05
171,2.3615948304223494e-05,2.3615948304223494e-05
172,2.368808695023476e-05,2.368808695023476e-05
173,2.368808695023476e-05,2.368808695023476e-05
174,2.371840134251e-05,2.371840134251e-05
175,2.371840134251e-05,2.371840134251e-05
176,2.371840134251e-05,2.371840134251e-05
177,2.3773333530719716e-05,2.3773333530719716e-05
178,2.378038977283588e-05,2.378038977283588e-05
179,2.378038977283588e-05,2.378038977283588e-05
180,2.393685744144446e-05,2.393685744144446e-05
181,2.3937157500084807e-05,2.3937157500084807e-05
182,2.3952379381276062e-05,2.3952379381276062e-05
183,2.3952379381276062e-05,2.3952379381276062e-05
184,2.3952379381276062e-05,2.3952379381276062e-05
185,2.4026419839057678e-05,2.4026419839057678e-05
186,2.407186862245814e-05,2.407186862245814e-05
187,2.4073680879013528e-05,2.4073680879013528e-05
188,2.4073680879013528e-05,2.4073680879013528e-05
189,2.413900535999755e-05,2.413900535999755e-05
190,2.440751846637585e-05,2.440751846637585e-05
191,2.440751846637585e-05,2.440751846637585e-05
192,2.442678773751243e-05,2.442678773751243e-05
193,2.442678773751243e-05,2.442678773751243e-05
194,2.442678773751243e-05,2.442678773751243e-05
195,2.442678773751243e-05,2.442678773751243e-05
196,2.442678773751243e-05,2.442678773751243e-05
197,2.45043497655799e-05,2.45043497655799e-05
198,2.45043497655799e-05,2.45043497655799e-05
199,2.4644867161449685e-05,2.4644867161449685e-05
200,2.4687948936631383e-05,2.4687948936631383e-05
201,2.468839664109499e-05,2.468839664109499e-05
202,2.471818927199063e-05,2.471818927199063e-05
203,2.471818927199063e-05,2.471818927199063e-05
204,2.471818927199063e-05,2.471818927199063e-05
205,2.472180520835713e-05,2.472180520835713e-05
206,2.4791821425289032e-05,2.4791821425289032e-05
207,2.4791821425289032e-05,2.4791821425289032e-05
208,2.4817414067391604e-05,2.4817414067391604e-05
209,2.4858199795195777e-05,2.4858199795195777e-05
210,2.4858199795195777e-05,2.4858199795195777e-05
211,2.4898263913797304e-05,2.4898263913797304e-05
212,2.4898263913797304e-05,2.4898263913797304e-05
213,2.4967964645090952e-05,2.4967964645090952e-05
214,2.5051745045375944e-05,2.5051745045375944e-05
215,2.5051745045375944e-05,2.5051745045375944e-05
216,2.5051745045375944e-05,2.5051745045375944e-05
217,2.5051745045375944e-05,2.5051745045375944e-05
218,2.5384571692551348e-05,2.5384571692551348e-05
219,2.5384571692551348e-05,2.5384571692551348e-05
220,2.540118024418853e-05,2.540118024418853e-05
221,2.5403808744161667e-05,2.5403808744161667e-05
222,2.5403808744161667e-05,2.5403808744161667e-05
223,2.5403808744161667e-05,2.5403808744161667e-05
224,2.5403808744161667e-05,2.5403808744161667e-05
225,2.5403808744161667e-05,2.5403808744161667e-05
226,2.5428816784632877e-05,2.5428816784632877e-05
227,2.5428816784632877e-05,2.5428816784632877e-05
228,2.5428816784632877e-05,2.5428816784632877e-05
229,2.546173757721244e-05,2.546173757721244e-05
230,2.546173757721244e-05,2.546173757721244e-05
231,2.5464846277059435e-05,2.5464846277059435e-05
232,2.5595002575631546e-05,2.5595002575631546e-05
233,2.5595002575631546e-05,2.5595002575631546e-05
234,2.5608736988822122e-05,2.5608736988822122e-05
235,2.568551867429892e-05,2.568551867429892e-05
236,2.574797929786416e-05,2.574797929786416e-05
237,2.590183234892786e-05,2.590183234892786e-05
238,2.590183234892786e-05,2.590183234892786e-05
239,2.590183234892786e-05,2.590183234892786e-05
240,2.590183234892786e-05,2.590183234892786e-05
241,2.590183234892786e-05,2.590183234892786e-05
242,2.5933123627464952e-05,2.5933123627464952e-05
