,Run # 0 BSF,Run # 1 BSF,Run # 2 BSF,Run # 3 BSF,Run # 4 BSF,Run # 5 BSF,Run # 6 BSF,Run # 7 BSF,Run # 8 BSF,Run # 9 BSF,Avg BSF
0,1.152137368311447e-05,1.147316068285527e-05,1.1690209129615631e-05,1.1551383879583947e-05,1.148291904692641e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1538057739144387e-05,1.1413483127051573e-05,1.1621255225576954e-05,1.1577899889252654e-05
1,1.152137368311447e-05,1.147316068285527e-05,1.1690209129615631e-05,1.1551383879583947e-05,1.1533735978150403e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1748124120458994e-05,1.1570166644079294e-05,1.1621255225576954e-05,1.1619656572209287e-05
2,1.152137368311447e-05,1.1603779722443296e-05,1.1690209129615631e-05,1.1551383879583947e-05,1.1533735978150403e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1748124120458994e-05,1.1570166644079294e-05,1.1621255225576954e-05,1.163271847616809e-05
3,1.1865738920113049e-05,1.1634709108825809e-05,1.1690209129615631e-05,1.1551383879583947e-05,1.1533735978150403e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1748124120458994e-05,1.1570166644079294e-05,1.1621255225576954e-05,1.16702479385062e-05
4,1.1865738920113049e-05,1.1634709108825809e-05,1.1852899706786092e-05,1.1551383879583947e-05,1.1831786698424014e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1796230559012334e-05,1.188285808239218e-05,1.218274126404355e-05,1.1808550459783889e-05
5,1.1865738920113049e-05,1.1634709108825809e-05,1.1852899706786092e-05,1.1843642771722612e-05,1.1831786698424014e-05,1.1880390984057564e-05,1.1606765394600346e-05,1.1796230559012334e-05,1.188285808239218e-05,1.218274126404355e-05,1.1837776348997755e-05
6,1.1865738920113049e-05,1.1634709108825809e-05,1.1852899706786092e-05,1.1843642771722612e-05,1.1882634067940411e-05,1.1880390984057564e-05,1.1838267951491178e-05,1.1879275879795473e-05,1.188285808239218e-05,1.218274126404355e-05,1.1874315873716791e-05
7,1.1865738920113049e-05,1.1634709108825809e-05,1.1852899706786092e-05,1.1851015236531907e-05,1.1882634067940411e-05,1.192839781046287e-05,1.1838267951491178e-05,1.1879275879795473e-05,1.188285808239218e-05,1.218274126404355e-05,1.1879853802838252e-05
8,1.1865738920113049e-05,1.1781814150738688e-05,1.1952435654707725e-05,1.1868175810697844e-05,1.2197562169092267e-05,1.192839781046287e-05,1.2235032958659453e-05,1.1879275879795473e-05,1.188285808239218e-05,1.218274126404355e-05,1.1977403270070309e-05
9,1.1865738920113049e-05,1.1862347424521263e-05,1.1952435654707725e-05,1.1868175810697844e-05,1.2197562169092267e-05,1.2120533487459057e-05,1.2235032958659453e-05,1.1997740367030535e-05,1.188285808239218e-05,1.218274126404355e-05,1.2016516613871692e-05
10,1.1865738920113049e-05,1.1862347424521263e-05,1.1952435654707725e-05,1.1868175810697844e-05,1.2197562169092267e-05,1.2120533487459057e-05,1.2235032958659453e-05,1.1997740367030535e-05,1.188285808239218e-05,1.218274126404355e-05,1.2016516613871692e-05
11,1.1865738920113049e-05,1.1862347424521263e-05,1.1952435654707725e-05,1.1907830096794683e-05,1.2332719178122682e-05,1.2501471552520538e-05,1.2524333973638408e-05,1.1997740367030535e-05,1.1944777299928546e-05,1.218274126404355e-05,1.2107213573142098e-05
12,1.206929360582657e-05,1.1862347424521263e-05,1.1952435654707725e-05,1.1926966057364454e-05,1.2332719178122682e-05,1.2626401420958088e-05,1.2524333973638408e-05,1.1997740367030535e-05,1.1944777299928546e-05,1.218274126404355e-05,1.2141975624614182e-05
13,1.206929360582657e-05,1.1910462663704292e-05,1.1952435654707725e-05,1.1926966057364454e-05,1.2332719178122682e-05,1.2626401420958088e-05,1.2524333973638408e-05,1.2121376597061908e-05,1.1944777299928546e-05,1.218274126404355e-05,1.2159150771535622e-05
14,1.206929360582657e-05,1.220129242831262e-05,1.1952435654707725e-05,1.2106435994545052e-05,1.2332719178122682e-05,1.2626401420958088e-05,1.2524333973638408e-05,1.2121376597061908e-05,1.2160766366494283e-05,1.218274126404355e-05,1.2227779648371086e-05
