,Run # 0 ASF,Avg ASF
387,2.8626176289391966e-05,2.8626176289391966e-05
388,2.8716727672273902e-05,2.8716727672273902e-05
389,2.896770661277023e-05,2.896770661277023e-05
390,2.8990870786009924e-05,2.8990870786009924e-05
391,2.8992754711872475e-05,2.8992754711872475e-05
392,2.90455046360239e-05,2.90455046360239e-05
393,2.9047388561886447e-05,2.9047388561886447e-05
394,2.9052421182448292e-05,2.9052421182448292e-05
395,2.9088109355663268e-05,2.9088109355663268e-05
396,2.9089333998234816e-05,2.9089333998234816e-05
397,2.9104036958800554e-05,2.9104036958800554e-05
398,2.9177551761629217e-05,2.9177551761629217e-05
399,2.921357060249621e-05,2.921357060249621e-05
400,2.9211975105441727e-05,2.9211975105441727e-05
401,2.921357060249621e-05,2.921357060249621e-05
402,2.921357060249621e-05,2.921357060249621e-05
403,2.918130639905633e-05,2.918130639905633e-05
404,2.921357060249621e-05,2.921357060249621e-05
405,2.921357060249621e-05,2.921357060249621e-05
406,2.921357060249621e-05,2.921357060249621e-05
407,2.921357060249621e-05,2.921357060249621e-05
408,2.921357060249621e-05,2.921357060249621e-05
409,2.921357060249621e-05,2.921357060249621e-05
410,2.921357060249621e-05,2.921357060249621e-05
411,2.921357060249621e-05,2.921357060249621e-05
412,2.9215745759045298e-05,2.9215745759045298e-05
413,2.92788252989689e-05,2.92788252989689e-05
414,2.9342215631553298e-05,2.9342215631553298e-05
415,2.9384475853276222e-05,2.9384475853276222e-05
416,2.9387344948166383e-05,2.9387344948166383e-05
417,2.9414513792996057e-05,2.9414513792996057e-05
418,2.9414513792996057e-05,2.9414513792996057e-05
419,2.9416300074450444e-05,2.9416300074450444e-05
420,2.9441308014811842e-05,2.9441308014811842e-05
421,2.9448488304513313e-05,2.9448488304513313e-05
422,2.9549012360333888e-05,2.9549012360333888e-05
423,2.9562495227764513e-05,2.9562495227764513e-05
424,2.9562495227764513e-05,2.9562495227764513e-05
425,2.9562495227764513e-05,2.9562495227764513e-05
426,2.956603086386167e-05,2.956603086386167e-05
427,2.948934777084973e-05,2.948934777084973e-05
428,2.9611201580743337e-05,2.9611201580743337e-05
429,2.9611201580743337e-05,2.9611201580743337e-05
430,2.9611201580743337e-05,2.9611201580743337e-05
431,2.9611201580743337e-05,2.9611201580743337e-05
432,2.9611201580743337e-05,2.9611201580743337e-05
433,2.9666500361311175e-05,2.9666500361311175e-05
434,2.9708787664098337e-05,2.9708787664098337e-05
435,2.9708787664098337e-05,2.9708787664098337e-05
436,2.9708787664098337e-05,2.9708787664098337e-05
437,2.9708787664098337e-05,2.9708787664098337e-05
438,2.9708787664098337e-05,2.9708787664098337e-05
439,2.9708787664098337e-05,2.9708787664098337e-05
440,2.971118359717977e-05,2.971118359717977e-05
441,2.9711912794204558e-05,2.9711912794204558e-05
442,2.9770261890089758e-05,2.9770261890089758e-05
443,2.9814881786943152e-05,2.9814881786943152e-05
444,2.9837241727428414e-05,2.9837241727428414e-05
445,2.9837241727428414e-05,2.9837241727428414e-05
446,2.9837241727428414e-05,2.9837241727428414e-05
